Sex,N_0R,N_2R_plus,Median_0R_C18,Median_2R_C18,P_C18,Median_0R_HILIC,Median_2R_HILIC,P_HILIC
Female,18,7,1256668.2,1229485.5,1,25437803.05,28362896.7,0.6499
Male,25,15,1126803.7,869547.6,0.0593,41244850.4,37527817.8,0.2086
