"ACR_Status","Mycophenolate..C18._mean","Mycophenolate..C18._sd","Mycophenolate..C18._median","Mycophenolate..C18._q25","Mycophenolate..C18._q75","Mycophenolate..C18._n","Mycophenolate..HILIC._mean","Mycophenolate..HILIC._sd","Mycophenolate..HILIC._median","Mycophenolate..HILIC._q25","Mycophenolate..HILIC._q75","Mycophenolate..HILIC._n","X11.Dehydrocorticosterone..HILIC._mean","X11.Dehydrocorticosterone..HILIC._sd","X11.Dehydrocorticosterone..HILIC._median","X11.Dehydrocorticosterone..HILIC._q25","X11.Dehydrocorticosterone..HILIC._q75","X11.Dehydrocorticosterone..HILIC._n","Prednisone..HILIC._mean","Prednisone..HILIC._sd","Prednisone..HILIC._median","Prednisone..HILIC._q25","Prednisone..HILIC._q75","Prednisone..HILIC._n","Cortisone..HILIC._mean","Cortisone..HILIC._sd","Cortisone..HILIC._median","Cortisone..HILIC._q25","Cortisone..HILIC._q75","Cortisone..HILIC._n","Tetrahydrocorticosterone..C18._mean","Tetrahydrocorticosterone..C18._sd","Tetrahydrocorticosterone..C18._median","Tetrahydrocorticosterone..C18._q25","Tetrahydrocorticosterone..C18._q75","Tetrahydrocorticosterone..C18._n","Tetrahydrocortisone..C18._mean","Tetrahydrocortisone..C18._sd","Tetrahydrocortisone..C18._median","Tetrahydrocortisone..C18._q25","Tetrahydrocortisone..C18._q75","Tetrahydrocortisone..C18._n","Prednisone..C18._mean","Prednisone..C18._sd","Prednisone..C18._median","Prednisone..C18._q25","Prednisone..C18._q75","Prednisone..C18._n","Cortisone.acetate..HILIC._mean","Cortisone.acetate..HILIC._sd","Cortisone.acetate..HILIC._median","Cortisone.acetate..HILIC._q25","Cortisone.acetate..HILIC._q75","Cortisone.acetate..HILIC._n","Dexamethasone.acetate.anhydrous..C18._mean","Dexamethasone.acetate.anhydrous..C18._sd","Dexamethasone.acetate.anhydrous..C18._median","Dexamethasone.acetate.anhydrous..C18._q25","Dexamethasone.acetate.anhydrous..C18._q75","Dexamethasone.acetate.anhydrous..C18._n","Fludrocortisone.acetate..HILIC._mean","Fludrocortisone.acetate..HILIC._sd","Fludrocortisone.acetate..HILIC._median","Fludrocortisone.acetate..HILIC._q25","Fludrocortisone.acetate..HILIC._q75","Fludrocortisone.acetate..HILIC._n","Fludrocortisone..C18._mean","Fludrocortisone..C18._sd","Fludrocortisone..C18._median","Fludrocortisone..C18._q25","Fludrocortisone..C18._q75","Fludrocortisone..C18._n","Hydrocortisone.sodium.succinate..HILIC._mean","Hydrocortisone.sodium.succinate..HILIC._sd","Hydrocortisone.sodium.succinate..HILIC._median","Hydrocortisone.sodium.succinate..HILIC._q25","Hydrocortisone.sodium.succinate..HILIC._q75","Hydrocortisone.sodium.succinate..HILIC._n","Mycophenolic.acid.O.acyl.glucuronide..C18._mean","Mycophenolic.acid.O.acyl.glucuronide..C18._sd","Mycophenolic.acid.O.acyl.glucuronide..C18._median","Mycophenolic.acid.O.acyl.glucuronide..C18._q25","Mycophenolic.acid.O.acyl.glucuronide..C18._q75","Mycophenolic.acid.O.acyl.glucuronide..C18._n"
"0R/1R",1179066.86587761,718955.999145193,1073402.8,718032.1,1397765.55,111,37889065.0056763,35033405.1145351,25992631.7847741,15101521.4708051,48961292,111,50646.4720695418,46487.9336055065,40626.2,26516.45,59704.05,111,45523.0135129193,25583.5637687375,40265.4,25606.45,62545.7,111,36546.9630648215,26639.6123423238,29769.5,19342.85,47646.85,111,1097088.96127449,267606.001500936,1069109.3,930109.250000001,1239972.75,111,78927.5279306972,67333.314010363,61021.5999999999,33827,101409.9,111,86507.103146288,81848.0827172417,58188.4,34406.2499712979,118202.4,111,55803.9117126925,18000.7449906463,51907.8999999999,45076.65,66508.45,111,52842.5090089106,33985.1628712604,49080.2999999999,27419.6,74794.15,111,28311.7612602621,13463.4931855571,25668.3,20005.95,34500.45,111,60372.4045068904,22360.818857194,55270.1,46476.25,70631.7,111,35862.0130623041,25478.4667670447,29134.5,22179.15,43146.85,111,1232606.57745749,1048719.47711127,1129031.8,507315.45,1414139.35,111
"2R+",985549.786363636,544507.079953983,882679.35,650878.45,1211963.425,22,32378932.685299,23254760.689092,32583663.45,10224024.875,43100253.825,22,41233.5181818182,33245.0200961543,35586.35,16798.05,50042.525,22,49572.4636363636,19049.6519542645,47086.1,35636.25,59634.575,22,37654.0772698278,26739.6533234489,32400.5000407127,23283.075,57179.85,22,1128016.47721112,251982.202325685,1114090.29879812,991267.3,1255041.925,22,84042.2545454545,44317.0064036663,72509.25,55846.175,96847.875,22,112360.556825631,187889.218984428,56819.3,42927.575,121145.150122913,22,48270.8954545454,13249.4479933344,48404.4,37218.2,52651.2,22,54578.0409091023,40418.5332176231,35989.35,28615.575,63342.2,22,26217.2636363636,11120.4870717902,27330.65,21518.5,31144.225,22,56135.1272727273,20518.0547986212,52819.4,42610.575,61396.7,22,38652.0363606536,32375.1336569991,28303.1,23664.175,41776.45,22,1068884.08638758,591328.22547762,1148699.4,566239.325,1366288.8,22
