Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value
Early (≤30 days),Mycophenolate..C18.,1034036.099999999,958866.6999999996,-75169.39999999944,0.9926042499123975
Early (≤30 days),Mycophenolate..HILIC.,28072741.00000003,40802969.49999997,12730228.49999994,0.4416533159205662
Late (>30 days),Mycophenolate..C18.,1105813.0499999993,842943.8500000009,-262869.19999999844,0.14784535231587692
Late (>30 days),Mycophenolate..HILIC.,24896783.540163577,18856540.24203057,-6040243.298133008,0.17837522876388884
